id,type,quiz_number,question,option_1,option_2,option_3,option_4,answer
27,2,2,RAD Software process model stands for _____ .,(A) Rapid Application Development.,(B) Relative Application Development.,(C) Rapid Application Design.,(D) Recent Application Development.,A
28,2,3,COCOMO stands for ______ .,(A) COnsumed COst MOdel,(B) COnstructive COst MOdel,(C) COmmon COntrol MOdel,(D) COmposition COst MOdel,B
29,2,4,Which of the following is not defined in a good Software Requirement Specification ?,(A) Functional Requirement.,(B) Nonfunctional Requirement.,(C) Goals of implementation.,(D) Algorithm for software implementation.,D
30,2,5,What is the simplest model of software development paradigm?,(A) Spiral model,(B) Big Bang model,(C) V-model,(D) Waterfall model,D
31,2,6,Which of the following is the understanding of software product limitations learning system related problems or changes to be done in existing systems beforehand identifying and addressing the impact of project on organization and personnel etc?,(A) Software Design,(B) Feasibility Study,(C) Requirement Gathering,(D) System Analysis,D
32,2,7,Which design identifies the software as a system with many components interacting with each other?,(A) Architectural design,(B) High-level design,(C) Detailed design,(D) Both B & C,A
33,2,8,Software consists of ______ .,(A) Set of instructions + operating procedures,(B) Programs + documentation + operating procedures,(C) Programs + hardware manuals,(D) Set of programs,B
34,2,9,Which is the most important feature of spiral model?,(A) Quality management,(B) Risk management,(C) Performance management,(D) Efficiency management,B
35,2,10,If every requirement stated in the Software Requirement Specification (SRS. has only one interpretation SRS is said to be correct _____ .,(A) Unambiguous,(B) Consistent,(C) Verifiable,(D) None of the above,A
36,2,11,Which is not a step of Requirement Engineering?,(A) Requirements elicitation,(B) Requirements analysis,(C) Requirements design,(D) Requirements documentation,C
37,2,12,FAST stands for ________ .,(A) Functional Application Specification Technique,(B) Fast Application Specification Technique,(C) Facilitated Application Specification Technique,(D) None of the above,A
38,2,13,The level at which the software uses scarce resources is ______ .,(A) Reliability,(B) Efficiency,(C) Portability,(D) All of the above,B
39,2,14,Modifying the software to match changes in the ever changing environment is called __________ .,(A) Adaptive maintenance,(B) Corrective maintenance,(C) Perfective maintenance,(D) Preventive maintenance,A
40,2,15,If every requirement can be checked by a costeffective process then the SRS is _________ .,(A) Verifiable,(B) Traceable,(C) Modifiable,(D) Complete,A
41,2,16,Aggregation represents ______ .,(A) is_a relationship,(B) part_of relationship,(C) composed_of relationship,(D) none of above,C
42,2,17,If P is risk probability L is loss then Risk Exposure (RE. is computed as_____ .,(A) RE = P/L,(B) RE = P + L,(C) RE = P*L,(D) RE = 2* P *L,C
43,2,18,Number of clauses used in ISO 9001 to specify quality system requirements are _____ .,(A) 15,(B) 20,(C) 25,(D) 28,B
44,2,19,ER model shows the _______ .,(A) Static view,(B) Functional view,(C) Dynamic view,(D) All the above,A
45,2,20,One of the fault base testing techniques is ______ .,(A) Unit Testing,(B) Beta Testing,(C) Stress Testing,(D) Mutation Testing,D
46,2,21,If the objects focus on the problem domain then we are concerned with ______.,(A) Object Oriented Analysis,(B) Object Oriented Design,(C) Object Oriented Analysis and Design,(D) None of the above,A
47,2,22,Which of the following is not a part of the Test Implementation and Execution Phase?,(A) Creating test suites from the test cases,(B) Executing test cases either manually or by using test execution tools,(C) Comparing actual results,(D) Designing the Tests,D
48,2,23,The Test Cases Derived from use cases _______ .,(A) Are most useful in uncovering defects in the process flows during real world use of the system.,(B) Are most useful in uncovering defects in the process flows during the testing use of the system.,(C) Are most useful in covering the defects in the process flows during real world use of the system.,(D) Are most useful in covering the defects at the Integration Level.,A
49,2,24,What can static analysis NOT find?,(A) The use of a variable before it has been defineD.,(B) Unreachable (?쐂ead?? code.,(C) Memory leaks.,(D) Array bound violations.,C
50,2,25,Which plan describes how the skills and experience of the project team members will be developed ?,(A) HR Plan,(B) Manager Plan,(C) Team Plan,(D) Staff Development Plan,D
51,3,1,Special programs that assist programmers are called:,(A) Heuristic processors,(B) Symbolic programmers,(C) Intelligent programming tools,(D) Program recognizers,C
52,3,2,An expert system differs from a database program in that only an expert system:,(A) Contains declarative knowledge,(B) Contains procedural knowledge,(C) Features the retrieval of stored information,(D) Expects users to draw their own conclusions,B
53,3,3,If the English Philosopher Thomas Hobbes could be called 'grandfather' of artificial intelligence then who could be called its father?,(A) A.M. Turning,(B) John McCarthy,(C) Allen Newell,(D) Herbert Simon,A
54,3,4,Texas Instruments Incorporated produces a low-cost LISP machine called:,(A) The Computer-Based Consultant,(B) The Explorer,(C) Smalltalk,(D) The Personal Consultant,B
55,3,5,In LISP the function (copy-list <list>),(A) Returns a new list that is equal to <list> by copying the top-level element of <list>,(B) Returns the length of <list>,(C) Returns t if <list> is empty,(D) None of the above,A
56,3,6,"A robot's ""arm"" is also known as its:",(A) End effector,(B) Actuator,(C) Manipulator,(D) Servomechanism,C
57,3,7,What is the term used for describing the judgmental or commonsense part of problem solving?,(A) Heuristic,(B) Critical,(C) Value based,(D) Analytical,A
58,3,8,The characteristics of the computer system capable of thinking reasoning and learning is known is,(A) Machine intelligence,(B) Human intelligence,(C) Artificial intelligence,(D) Virtual intelligence,C
59,3,9,"What stage of the manufacturing process has been described as ""the mapping of function onto form""?",(A) Design,(B) Distribution,(C) Project management,(D) Field service,A
60,3,10,Artificial intelligence is,(A) The embodiment of human intellectual capabilities within a computer,(B) A set of computer programs that produce output that would be considered to reflect intelligence if it were generated by humans,(C) The study of mental faculties through the use of mental models implemented on a computer,(D) All of the above,D
61,3,11,Which kind of planning consists of successive representations of different levels of a plan?,(A) Hierarchical planning,(B) Non-hierarchical planning,(C) Project planning,(D) All of the above,A
62,3,12,The first widely-used commercial form of Artificial Intelligence (Al) is being used in many popular products like microwave ovens automobiles and plug in circuit boards for desktop PCs. It allows machines to handle vague information with a deftness that mimics human intuition. What is the name of this AI?,(A) Boolean logic,(B) Human logic,(C) Fuzzy logic,(D) Functional logic,C
63,3,13,Shaping teaching techniques to fit the learning patterns of individual students is the goal of:,(A) Decision support,(B) Automatic programming,(C) Intelligent computer-assisted instruction,(D) Expert systems,C
64,3,14,"What was originally called the ""imitation game"" by its creator?",(A) The Turing Test,(B) LISP,(C) The Logic Theorist,(D) Cybernetics,A
65,3,15,The primary method that people use to sense their environment is:,(A) Reading,(B) Writing,(C) Speaking,(D) Seeing,D
66,3,16,Which of these schools was not among the early leaders in AI research?,(A) Dartmouth University,(B) Harvard University,(C) Massachusetts Institute of Technology,(D) Stanford University,B
67,3,17,The cray X-MP IBM 3090 and connection machine can he characterized as,(A) SISD,(B) SIMD,(C) MISD,(D) MIMD,B
68,3,18,Decision support programs are designed to help managers make:,(A) Budget projections,(B) Visual presentations,(C) Business decisions,(D) Vacation schedules,C
69,3,19,LISP machines also are known as:,(A) AI workstations,(B) Time-sharing terminals,(C) Super mini computers,(D) None of the above,A
70,3,20,PROLOG is an AI programming language which solves problems with a form of symbolic logic known as predicate calculus. It was developed in 1972 at the University of Marseilles by a team of specialists. Can you name the person who headed this team?,(A) Alain Colmerauer,(B) Nicklaus Wirth,(C) Seymour Papert,(D) John McCarthy,A
71,3,21,In LISP the function evaluates <object> and assigns this value to the unevaluated <sconst>,(A) (constant <sconst> <object>),(B) (defconstant <sconst> <object>),(C) (eva <sconst> <object>),(D) (eva <object> <sconst>),B
72,3,22,Programming a robot by physically moving it through the trajectory you want it to follow is called:,(A) Contact sensing control,(B) Continuous-path control,(C) Robot vision control,(D) Pick-and-place control,B
73,3,23,The conference that launched the AI revolution in 1956 was held at:,(A) Dartmouth,(B) Harvard,(C) New York,(D) Stanford,A
74,3,24,When a top-level function is entered the LISP processor do/does,(A) It reads the function entered,(B) It evaluates the function and the function's operands,(C) It prints the results returned by the function,(D) All of the above,D
75,3,25,To invoke the LISP system you must enter,(A) AI,(B) LISP,(C) CL (Common Lisp),(D) Both (b) and (c),D
